R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0012
y-axis screen name: cdc2-2
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/06/24
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDL134C-A	YDL134C-A	0.0388336	0.999261	-30.2655	31.1699	101.598	10.7448	12.4468	8	8	t-test	E
YGR229C	SMI1	0.00028576	0.0391971	-30.0201	11.6131	68.8501	3.80987	7.99982	8	8	t-test	E
YMR237W	BCH1	0.0118857	0.626286	-29.6029	20.599	83.0204	7.90956	10.5996	8	8	t-test	E
YBR254C	TRS20	0.00641339	0.389268	-29.2451	4.04937	55.0602	2.65112	12.7999	8	8	t-test	E
YFL007W	BLM10	0.0131011	0.647627	-29.1306	10.0069	64.7228	4.90764	14.1853	8	8	t-test	E
YGL029W	CGR1	0.0158435	0.744801	-28.6183	9.99149	63.8503	4.88582	14.507	8	8	t-test	E
YFR005C	SAD1	0.000196638	0.0294649	-28.6033	5.32343	56.1058	2.51519	7.54994	8	8	t-test	E
YMR048W	CSM3	0.0212962	0.891299	-28.0099	28.8817	94.0835	7.60591	12.6919	8	8	t-test	E
YNL038W	GPI15	4.84957e-06	0.00228681	-27.9602	2.44735	50.2859	1.36726	4.73204	8	8	t-test	E
YPR018W	RLF2	0.02115	0.891299	-27.9221	21.7518	82.1473	8.39832	10.916	8	8	t-test	E
YBR231C	SWC5	0.00103037	0.0988122	-27.757	13.3262	67.9405	4.88787	7.63451	8	8	t-test	E
YJL091C	GWT1	0.00890597	0.490852	-27.6093	18.0339	75.4816	6.70406	10.1388	8	8	t-test	E
YPL106C	SSE1	0.00128371	0.113989	-27.2768	13.2196	66.9702	2.96352	9.19851	8	8	t-test	E
YBR099C	YBR099C	0.00475246	0.311547	-27.1044	22.4969	82.0273	5.37191	9.95671	8	8	t-test	E
YOL018C	TLG2	0.000803562	0.0786343	-27.0743	15.073	69.7005	3.38728	8.43167	8	8	t-test	E
YAL036C	RBG1	0.0556793	0.999261	-26.9461	25.3196	86.4334	10.4426	12.1914	8	8	t-test	E
YMR123W	PKR1	7.45829e-05	0.0171736	-26.8687	5.60254	53.6988	3.28977	5.89383	8	8	t-test	E
YNL215W	IES2	0.00875397	0.490852	-26.8298	20.6123	78.4566	6.62506	9.54853	8	8	t-test	E
YLR010C	TEN1	5.81536e-05	0.0155281	-26.7386	5.11542	52.678	3.34432	7.50847	16	16	t-test	E
YLR229C	CDC42	0.00196577	0.162515	-26.734	13.2932	66.1944	5.36059	7.43282	8	8	t-test	E
YML038C	YMD8	0.0201753	0.883617	-26.2263	6.50267	54.125	2.52658	14.4815	8	8	t-test	E
YKL113C	RAD27	0.0125005	0.635288	-26.0083	18.9796	74.398	7.25365	8.67862	8	8	t-test	E
YER177W	BMH1	0.000186297	0.0294649	-25.1093	9.90458	57.9035	3.84857	5.05907	8	8	t-test	E
YNL012W	SPO1	0.0930912	0.999261	-25.0959	32.4914	95.2339	11.7345	11.7086	8	8	t-test	E
YLR289W	GUF1	0.0809802	0.999261	-24.5836	32.1035	93.7452	10.3612	12.9766	8	8	t-test	E
YPL159C	PET20	0.0122452	0.63135	-24.5514	18.0296	70.4176	6.89672	7.89468	8	8	t-test	E
YOL094C	RFC4	0.0521772	0.999261	-24.4906	37.2569	102.114	6.92068	15.1136	8	8	t-test	E
YFL022C	FRS2	0.00332008	0.24492	-24.4766	17.5352	69.4762	4.19918	8.9435	8	8	t-test	E
YHL023C	NPR3	0.000436504	0.0510497	-23.7296	5.09066	47.6609	2.99507	6.74485	8	8	t-test	E
YLR310C	CDC25	0.0454993	0.999261	-23.2047	38.5599	102.142	3.01263	15.5839	8	8	t-test	E
YBL030C	PET9	0.00123967	0.113989	-23.1709	14.2509	61.8857	4.11136	6.64339	8	8	t-test	E
YHR186C	KOG1	0.00774928	0.453144	-23.0108	22.4245	75.1379	2.20471	10.4314	8	8	t-test	E
YIL128W	MET18	0.061267	0.999261	-22.7342	17.8528	67.1199	8.98088	10.7222	8	8	t-test	E
YEL031W	SPF1	0.0175391	0.793394	-22.6824	17.5767	66.5777	7.13104	6.30471	8	8	t-test	E
YEL003W	GIM4	0.000466995	0.0520754	-22.5402	12.8632	58.5476	3.52248	5.79911	8	8	t-test	E
