R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 28
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0015
y-axis screen name: cdc13-1_DIL
y-axis libraries: SDLV4_384
y-axis client: DJW
y-axis user: APB
y-axis date: 2013/06/10
y-axis PI: 
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: 
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDR083W	RRP8	0.000847313	0.0225076	-39.8863	10.2051	73.3347	3.62844	11.2783	10	8	t-test	E
YPR141C	KAR3	6.1029e-05	0.00553637	-39.705	7.27881	68.7851	3.56309	8.1151	8	8	t-test	E
YMR290C	HAS1	0.00973024	0.106325	-39.3467	18.2202	84.2788	10.2924	11.7044	8	8	t-test	E
YCL016C	DCC1	0.000173851	0.00908559	-39.2988	12.2426	75.4575	3.52956	9.13385	10	8	t-test	E
YCR020C-A	MAK31	0.000514442	0.0167124	-39.2766	18.5519	84.662	3.30898	10.3659	10	8	t-test	E
YBR181C	RPS6B	0.000499625	0.0165669	-39.219	11.8117	74.7097	4.91323	10.2499	10	8	t-test	E
YNR007C	ATG3	0.000434868	0.0153738	-39.1353	12.7984	76.0318	5.38304	9.57267	8	8	t-test	E
YLR106C	MDN1	0.00528285	0.0721589	-39.0817	26.4575	95.9505	6.23281	14.1369	8	8	t-test	E
YIL084C	SDS3	0.000441882	0.0155078	-38.8913	4.77538	63.9288	3.13182	10.0029	8	8	t-test	E
YPR046W	MCM16	0.00078771	0.0217661	-38.8483	18.6467	84.1736	4.6476	10.7424	8	8	t-test	E
YOR142W	LSC1	0.002298	0.0438444	-38.7346	21.6017	88.3333	6.35752	11.8563	8	8	t-test	E
YPL076W	GPI2	0.00616044	0.0794393	-38.5777	27.2368	96.3536	7.43356	13.5682	8	8	t-test	E
YLR310C	CDC25	0.0106093	0.109774	-38.5743	31.1941	102.142	7.10978	15.5839	8	8	t-test	E
YOL134C	YOL134C	0.00151184	0.0327429	-38.4831	6.87449	66.4042	3.38345	11.7605	8	8	t-test	E
YER164W	CHD1	0.0015439	0.0331388	-38.4698	23.9113	91.3269	4.17035	11.8013	8	8	t-test	E
YBR118W	TEF2	3.61897e-05	0.00424391	-38.3697	6.98399	66.3986	3.42882	7.40292	8	8	t-test	E
YLR371W	ROM2	0.00265608	0.0479576	-38.3527	24.4392	91.9284	6.48241	11.9337	8	8	t-test	E
