R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 36
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 36
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0011
y-axis screen name: pol2-12
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/07/08
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YKR068C	BET3	0.000692711	0.0173575	-19.1391	9.5693	44.5282	2.67297	4.80728	8	6	t-test	E
YCR077C	PAT1	0.00104491	0.0231661	-19.1239	7.15969	40.7671	3.76162	2.51884	8	6	t-test	E
YJR044C	VPS55	0.00199775	0.0358626	-19.111	9.38909	44.2052	3.44767	5.25452	8	6	t-test	E
YJR145C	RPS4A	0.0102497	0.0998209	-19.044	14.9914	52.7906	2.06568	7.7298	8	6	t-test	E
YOR113W	AZF1	0.000165643	0.00632465	-19.008	9.65446	44.457	2.60301	3.68773	8	6	t-test	E
YPL138C	SPP1	0.00606786	0.0732772	-19.0028	7.23323	40.6934	4.95804	3.2079	8	6	t-test	E
YBR273C	UBX7	0.0212499	0.152133	-18.9911	28.8359	74.1822	5.31754	7.45229	8	6	t-test	E
YPR008W	HAA1	0.0393821	0.204608	-18.9832	30.8003	77.2167	4.82117	9.92815	8	6	t-test	E
YBR290W	BSD2	0.022776	0.15789	-18.9766	13.7674	50.7876	6.48166	3.4575	8	6	t-test	E
YPL086C	ELP3	7.50805e-05	0.00376263	-18.9041	7.86816	41.5251	2.50314	3.12436	8	6	t-test	E
YBL089W	AVT5	0.207371	0.460814	-18.9037	21.1415	62.1121	11.7746	4.99138	4	6	t-test	E
YAL024C	LTE1	0.00168995	0.0322792	-18.8591	8.60334	42.5957	3.98562	2.54588	8	6	t-test	E
YAR002W	NUP60	0.0503184	0.228836	-18.8482	12.6666	48.8811	6.27998	3.67004	4	6	t-test	E
YML035C	AMD1	0.00806459	0.088988	-18.8267	11.6982	47.3456	5.18516	3.0472	8	6	t-test	E
YBR107C	IML3	0.112994	0.346455	-18.7553	14.6994	51.89	8.59018	4.94672	4	6	t-test	E
YOR177C	MPC54	0.045949	0.221061	-18.7492	24.3946	66.9182	5.84648	9.32428	8	6	t-test	E
YDL134C	PPH21	0.00196655	0.0355679	-18.7464	11.8819	47.5061	4.02955	3.3187	8	6	t-test	E
