R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 36
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 36
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0011
y-axis screen name: pol2-12
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/07/08
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YLR370C	ARC18	8.40472e-07	0.000139431	-28.7046	1.24077	46.4468	0.891208	2.7228	8	6	t-test	E
YIR023W	DAL81	0.00456996	0.0619326	-28.6981	13.1891	64.9692	5.34417	9.42502	8	6	t-test	E
YCL061C	MRC1	1.746e-06	0.000247059	-28.5724	5.30905	52.5519	2.4183	3.47649	8	6	t-test	E
YGL046W	YGL046W	1.48503e-07	3.14243e-05	-28.5534	2.74605	48.5471	1.3143	2.73068	8	6	t-test	E
YLR261C	VPS63	0.000146954	0.00611414	-28.3077	0	43.9067	0	4.25453	8	6	t-test	E
YJR118C	ILM1	0.00272907	0.0440589	-28.2454	10.7261	60.4469	4.2281	8.8797	8	6	t-test	E
YJR043C	POL32	1.50231e-07	3.14243e-05	-28.0116	2.6411	47.5439	1.08089	2.52972	8	6	t-test	E
YKR035W-A	DID2	0.0299616	0.180598	-27.9038	0.781388	44.4923	0.781388	14.4301	8	6	t-test	E
YBR278W	DPB3	0.00150115	0.0298432	-27.7946	5.76449	52.0519	5.76449	4.34545	8	6	t-test	E
YLR015W	BRE2	0.000374839	0.0107985	-27.7481	0.962989	44.5324	0.631196	5.32994	8	6	t-test	E
YKR082W	NUP133	0.000150665	0.00611414	-27.6567	0.662511	43.9245	0.462536	4.38246	8	6	t-test	E
YPR079W	MRL1	2.42182e-05	0.00166449	-27.5927	1.26369	44.7578	0.778871	3.58469	8	6	t-test	E
YGL045W	RIM8	2.76259e-05	0.00179606	-27.5468	3.44127	48.0641	0.934977	3.81553	8	6	t-test	E
YAR003W	SWD1	6.35486e-05	0.00334568	-27.4332	1.69659	45.1819	1.69659	4.613	4	6	t-test	E
YHR111W	UBA4	3.83465e-05	0.00233525	-27.401	2.36012	46.161	0.710919	3.70957	8	6	t-test	E
YKL160W	ELF1	4.83631e-05	0.00276994	-27.223	6.43321	52.2025	3.27392	4.57661	8	6	t-test	E
YBL031W	SHE1	3.63646e-06	0.000397614	-27.2147	2.63262	46.2947	1.53306	2.03775	4	6	t-test	E
YPL063W	TIM50	6.17713e-08	1.74813e-05	-27.1811	1.68265	44.7692	1.0341	2.29229	8	6	t-test	E
YLR172C	DPH5	1.48316e-09	8.91936e-07	-27.093	3.0358	46.7313	1.12945	1.76181	8	6	t-test	E
YLR056W	ERG3	0.000352785	0.0102943	-27.0708	3.85558	47.9684	1.60913	5.88253	8	6	t-test	E
YEL003W	GIM4	4.01676e-10	3.22077e-07	-26.8509	3.92471	47.7346	1.05241	1.54106	8	6	t-test	E
YPL194W	DDC1	7.25961e-05	0.00367642	-26.7262	1.25342	43.3979	0.866959	4.14558	8	6	t-test	E
YLR085C	ARP6	2.31037e-06	0.00030041	-26.72	5.24784	49.5838	2.56837	2.47715	8	6	t-test	E
YBL008W	HIR1	0.0285548	0.177304	-26.6311	12.7881	61.1412	7.55423	6.38343	4	6	t-test	E
YLR373C	VID22	0.000589018	0.0155653	-26.5378	3.94095	47.2742	1.27825	6.00833	8	6	t-test	E
YDR397C	NCB2	0.000273283	0.00911517	-26.388	3.05839	45.6728	0.974161	5.08842	8	6	t-test	E
YDR108W	TRS85	0.000342293	0.010237	-26.3851	0.23215	41.2848	0.152386	4.7533	8	6	t-test	E
YLR361C	DCR2	0.00023888	0.00816169	-26.3593	6.35749	50.7454	4.16326	2.36081	8	6	t-test	E
YNL235C	YNL235C	9.35087e-05	0.00434244	-26.3151	9.80516	56.0243	1.57471	4.84359	8	6	t-test	E
YPL259C	APM1	0.00877175	0.0933233	-26.2626	19.4066	70.8352	6.1807	8.80686	8	6	t-test	E
YPR119W	CLB2	4.84728e-23	2.33203e-19	-26.1226	7.26285	51.7825	1.52888	1.99415	56	42	t-test	E
