R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 33
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 33
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0010
y-axis screen name: pol1-1
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/06/18
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR048W	CSM3	0.000100039	0.00887299	-50.4373	0.875855	84.3566	0.331787	7.49861	8	6	t-test	E
YKL184W	SPE1	7.69291e-05	0.00752806	-47.5272	0.747608	79.3617	0.434795	6.77733	8	6	t-test	E
YGL244W	RTF1	4.01344e-12	2.7492e-09	-47.145	3.78094	83.7202	1.22733	1.93163	8	6	t-test	E
YKL006W	RPL14A	3.06513e-06	0.000944922	-45.7616	0	75.2301	0	3.30989	8	6	t-test	E
YNL235C	YNL235C	2.75092e-07	0.000131907	-44.8158	1.10253	75.4877	0.385963	2.52866	8	6	t-test	E
YDR397C	NCB2	0.000147817	0.0113213	-44.1365	0.94086	74.1052	0.270418	7.092	8	6	t-test	E
YLR406C	RPL31B	0.000552951	0.0243248	-41.8375	9.82176	84.9257	6.19549	10.4384	8	6	t-test	E
YCL061C	MRC1	1.15019e-05	0.00212122	-41.2097	0.94476	69.3001	0.94476	4.89465	8	6	t-test	E
YOL012C	HTZ1	3.22575e-06	0.000944922	-40.9955	0.464873	68.1591	0.300285	3.22667	8	6	t-test	E
YKL075C	YKL075C	6.05316e-05	0.00644998	-40.8634	3.14039	72.3403	0.51192	5.67734	8	6	t-test	E
YNL167C	SKO1	0.000260597	0.0149902	-40.7717	0	67.027	0	7.32111	8	6	t-test	E
YOL124C	TRM11	0.000658205	0.0272077	-40.7497	2.60411	71.2719	1.29113	9.46913	8	6	t-test	E
YNL147W	LSM7	0.00115772	0.0391671	-40.6041	7.26951	78.7021	3.20429	11.5847	8	6	t-test	E
YCL060C	:::MRC1	5.52393e-06	0.0012613	-40.588	0.462539	67.4853	0.462539	3.72369	8	6	t-test	E
YBR011C	IPP1	0.000796927	0.0308167	-40.4617	0	66.5173	0	9.21826	8	6	t-test	E
YNL288W	CAF40	1.13352e-05	0.00212122	-39.8366	2.83179	70.145	2.83179	6.4598	8	6	t-test	E
YBR255W	MTC4	4.29887e-06	0.0010849	-39.5302	0	64.9859	0	3.06114	8	6	t-test	E
YER164W	CHD1	4.52158e-05	0.00578583	-39.211	2.82954	69.1129	0.265424	4.98486	8	6	t-test	E
YDL212W	SHR3	0.000192971	0.0125996	-39.004	3.66082	70.1391	2.01869	8.06721	8	6	t-test	E
YEL003W	GIM4	2.8581e-05	0.00403076	-38.4249	0.571041	64.1077	0.3015	4.50117	8	6	t-test	E
YFR037C	RSC8	0.00033672	0.017777	-38.3559	2.03516	66.4012	0.69183	7.52723	8	6	t-test	E
YCL010C	SGF29	0.0227933	0.278102	-37.716	0.523843	62.8646	0.436766	19.1088	8	6	t-test	E
YML038C	YMD8	0.000141043	0.0112717	-37.4981	0	61.6453	0	5.92262	8	6	t-test	E
YOR014W	RTS1	0.0150882	0.224683	-37.4884	1.21033	63.619	0.370729	16.9949	8	6	t-test	E
YBR099C	YBR099C	7.29959e-07	0.000291679	-37.3904	7.38594	73.6104	3.20478	3.56667	8	6	t-test	E
YOL102C	TPT1	0.000450931	0.021408	-37.369	2.1337	64.9408	0.426057	7.62978	8	6	t-test	E
YNL171C	YNL171C	0.000243907	0.0144387	-37.3662	9.85164	77.6241	6.02807	5.68312	8	6	t-test	E
YPL183C	RTT10	9.95868e-05	0.00887299	-37.3468	7.90393	74.3902	4.63738	7.47301	8	6	t-test	E
YJR043C	POL32	0.000103626	0.00887299	-37.3173	0.469825	62.1205	0.469825	4.33566	8	5	t-test	E
YMR016C	SOK2	0.000478163	0.0224783	-37.2048	1.24827	63.2153	0.673566	7.81573	8	6	t-test	E
YNL136W	EAF7	0.0155452	0.227005	-37.1983	5.74742	70.601	3.71074	17.496	8	6	t-test	E
YCR020C-A	MAK31	0.00820741	0.150208	-37.1452	29.8071	110.067	7.34072	14.4945	8	6	t-test	E
YDL002C	NHP10	2.26368e-05	0.00374287	-36.8721	0.104206	60.7875	0.104206	4.0174	8	6	t-test	E
YJL123C	MTC1	0.000986473	0.0350381	-36.8378	11.4798	79.4322	7.18347	5.93807	8	6	t-test	E
