R package version: 0.0-4						
Treatment: 30						
Medium: 100mM_HU_CSM 						
Screen ID: QFA0044						
Screen name: G4Quad_Drugs						
Libraries: SDLV4_384						
Client: EJA						
User: EJA						
PI: DAL						
Date: 2011/10/17						
Fitness definition: MDRMDP						
Condition: 100mM_HU_CSM 						
#########################################################						
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
FLO1	YAR050W	88.54493796	84.74380935	1101.077583	4	16.59124455
ECM15	YBL001C	60.51610074	62.66173931	129.5267228	4	5.690490375
HTA2	YBL003C	59.95746342	60.75048723	66.02853606	4	4.062897244
PDR3	YBL005W	64.45540878	66.11406923	220.9368541	4	7.431972385
SLA1	YBL007C	47.6485489	46.65635329	33.00159625	4	2.87235079
HIR1	YBL008W	47.363914	52.12347669	2212.289138	4	23.51748891
ALK2	YBL009W	56.45629621	56.42630214	335.5476262	4	9.158979558
YBL010C	YBL010C	66.23784475	64.82287666	130.4636141	4	5.711033491
SCT1	YBL011W	63.12692411	66.40357979	1392.042684	4	18.65504412
FMT1	YBL013W	59.15495139	59.48948843	526.7643614	4	11.47567385
ACH1	YBL015W	54.65992751	55.352296	20.96339478	4	2.289289998
FUS3	YBL016W	57.78553737	58.25821828	117.520597	4	5.420345862
PEP1	YBL017C	62.04888722	66.19427846	632.2839046	4	12.57262805
APN2	YBL019W	61.15778655	61.66231642	1576.602479	4	19.85322693
HAP3	YBL021C	40.01329241	39.888773	57.96190247	4	3.806635735
NCL1	YBL024W	19.98683872	25.49003639	2829.596793	4	26.59697724
RRN10	YBL025W	56.4472766	57.45024577	163.1623793	4	6.386751508
RPL19B	YBL027W	13.21118264	22.94431636	3360.009706	4	28.98279535
YBL028C	YBL028C	64.07681066	63.01798387	68.20455989	4	4.129302601
YBL029W	YBL029W	69.64928203	70.17835108	947.6707276	4	15.39213052
SHE1	YBL031W	31.44247416	27.87358893	1734.77774	4	20.82533157
HEK2	YBL032W	74.45522015	71.5609898	632.9179971	4	12.57893077
YBL036C	YBL036C	63.08512331	67.79200552	606.3113678	4	12.31169533
APL3	YBL037W	56.9817536	59.39280202	194.1656831	4	6.967167343
URA7	YBL039C	63.98106819	64.52411313	121.8225999	4	5.518663785
FUI1	YBL042C	60.76235096	61.70673132	146.2234859	4	6.046145174
ECM13	YBL043W	72.82222203	73.86214518	859.8401439	4	14.66151547
PSY4	YBL046W	62.56385573	67.03370532	928.9008646	4	15.2389375
EDE1	YBL047C	53.24116211	56.44571499	204.6657764	4	7.153072354
YBL048W	YBL048W	67.47227649	69.43464145	520.5953401	4	11.40827923
MOH1	YBL049W	62.69050609	61.92682979	109.5920328	4	5.23431067
PIN4	YBL051C	40.82821935	40.8176272	238.2801805	4	7.718163325
SAS3	YBL052C	61.33733543	67.38823505	953.6453956	4	15.44057476
YBL053W	YBL053W	64.98327671	63.10338577	144.7768304	4	6.016162198
YBL054W	YBL054W	74.79515696	75.23976122	1259.539667	4	17.74499695
